trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
La Notte Vola - RMX (feat. Lorella Cuccarini);Olly;24/01/2024 20:45;142645;7MXfWsAPAFvAuUWid9UxU0;51;142714;10/02/2023;spotify:track:7MXfWsAPAFvAuUWid9UxU0;0.232;0.645;0.708;0.173;0.0;0.0949;0.593;-6.324;139.979;4;1;1;spotify:track:7MXfWsAPAFvAuUWid9UxU0;7MXfWsAPAFvAuUWid9UxU0
IL BENE NEL MALE;Madame;24/01/2024 20:43;213144;1r2uadbNnJrNjuupsFGXJJ;58;213143;30/03/2023;spotify:track:1r2uadbNnJrNjuupsFGXJJ;0.234;0.833;0.708;0.0573;0.0587;0.0973;0.603;-8.511;119.003;4;3;0;spotify:track:1r2uadbNnJrNjuupsFGXJJ;1r2uadbNnJrNjuupsFGXJJ
La ragazza con il cuore di latta;Irama;24/01/2024 20:39;128569;0NmyHZZMfVBiUSOfDmz9Bf;51;222101;08/02/2019;spotify:track:0NmyHZZMfVBiUSOfDmz9Bf;0.279;0.612;0.687;0.182;0.0;0.209;0.305;-7.093;99.939;4;0;1;spotify:track:0NmyHZZMfVBiUSOfDmz9Bf;0NmyHZZMfVBiUSOfDmz9Bf
La genesi del tuo colore;Irama;24/01/2024 20:20;228959;0HyDNYQmQ3obfA81D3y9tG;55;228984;04/03/2021;spotify:track:0HyDNYQmQ3obfA81D3y9tG;0.0254;0.527;0.75;0.11;0.0;0.108;0.38;-5.449;128.006;4;6;0;spotify:track:0HyDNYQmQ3obfA81D3y9tG;0HyDNYQmQ3obfA81D3y9tG
Arrogante;Irama;24/01/2024 20:16;196421;3VDA2SesnexSr2PoGACRMG;58;196470;28/08/2020;spotify:track:3VDA2SesnexSr2PoGACRMG;0.154;0.721;0.773;0.0457;0;0.337;0.685;-5.71;102.011;4;11;1;spotify:track:3VDA2SesnexSr2PoGACRMG;3VDA2SesnexSr2PoGACRMG
QUANDO PIOVE;Irama;24/01/2024 20:13;178859;3DziDVOfodYNjp3luJF4PP;46;179027;07/07/2023;spotify:track:3DziDVOfodYNjp3luJF4PP;0.23;0.851;0.682;0.129;3.43e-05;0.087;0.36;-5.546;107.967;4;9;0;spotify:track:3DziDVOfodYNjp3luJF4PP;3DziDVOfodYNjp3luJF4PP
Una Lacrima (feat. Sfera Ebbasta);Irama;24/01/2024 20:10;173248;3FfgFuY6NO3f06pB7R6nSs;54;173300;25/02/2022;spotify:track:3FfgFuY6NO3f06pB7R6nSs;0.0405;0.698;0.814;0.0338;0.0;0.253;0.443;-4.686;102.986;4;1;1;spotify:track:3FfgFuY6NO3f06pB7R6nSs;3FfgFuY6NO3f06pB7R6nSs
Nera;Irama;24/01/2024 20:07;13855;6Lc0La3OwOmAouQjbID4uX;60;174146;01/06/2018;spotify:track:6Lc0La3OwOmAouQjbID4uX;0.136;0.767;0.819;0.105;0.0;0.165;0.799;-5.114;133.997;4;0;1;spotify:track:6Lc0La3OwOmAouQjbID4uX;6Lc0La3OwOmAouQjbID4uX
Mediterranea;Irama;24/01/2024 20:06;177794;2Up8QSKRV7WnZxZAQasEUq;61;177809;28/08/2020;spotify:track:2Up8QSKRV7WnZxZAQasEUq;0.113;0.711;0.916;0.0587;0.0;0.188;0.79;-4.678;130.013;4;11;1;spotify:track:2Up8QSKRV7WnZxZAQasEUq;2Up8QSKRV7WnZxZAQasEUq
SULLA PELLE;Irama;24/01/2024 20:02;170433;5eCfVN860RQqLMz0MB37Y5;50;170552;07/07/2023;spotify:track:5eCfVN860RQqLMz0MB37Y5;0.0074;0.593;0.88;0.0631;0;0.115;0.35;-3.309;93.025;4;7;1;spotify:track:5eCfVN860RQqLMz0MB37Y5;5eCfVN860RQqLMz0MB37Y5
A L I;Irama;24/01/2024 19:59;188378;2i2KQ1gfaIRoExBoYuVjiY;55;188423;25/11/2022;spotify:track:2i2KQ1gfaIRoExBoYuVjiY;0.42;0.59;0.534;0.0361;0;0.0989;0.498;-5.843;129.944;4;10;1;spotify:track:2i2KQ1gfaIRoExBoYuVjiY;2i2KQ1gfaIRoExBoYuVjiY
LUNA PIENA (con IRAMA);Rkomi;24/01/2024 19:56;166869;6z7tGTD6yvyloEm6K2H8EX;64;166983;30/11/2021;spotify:track:6z7tGTD6yvyloEm6K2H8EX;0.405;0.722;0.841;0.0545;0.0;0.0876;0.467;-3.561;99.963;4;1;1;spotify:track:6z7tGTD6yvyloEm6K2H8EX;6z7tGTD6yvyloEm6K2H8EX
HOLLYWOOD;Irama;24/01/2024 19:53;184702;3RyVu4sbEBBRi9fKif6fHc;57;184800;07/07/2023;spotify:track:3RyVu4sbEBBRi9fKif6fHc;0.126;0.686;0.852;0.0454;0.0;0.142;0.757;-3.674;100.025;4;5;0;spotify:track:3RyVu4sbEBBRi9fKif6fHc;3RyVu4sbEBBRi9fKif6fHc
5 Gocce (feat. Rkomi);Irama;24/01/2024 19:49;159845;3z0GeNGWyVduziP1cQ0mFN;63;160000;25/02/2022;spotify:track:3z0GeNGWyVduziP1cQ0mFN;0.279;0.742;0.808;0.059;9.85e-06;0.325;0.846;-5.206;74.992;4;4;1;spotify:track:3z0GeNGWyVduziP1cQ0mFN;3z0GeNGWyVduziP1cQ0mFN
Ovunque Sarai;Irama;24/01/2024 19:47;4558;0hluyTCTSua59xYuIRqpe5;56;200428;03/02/2022;spotify:track:0hluyTCTSua59xYuIRqpe5;0.582;0.359;0.434;0.0305;0.0;0.205;0.325;-6.068;79.133;4;0;1;spotify:track:0hluyTCTSua59xYuIRqpe5;0hluyTCTSua59xYuIRqpe5
5 Gocce (feat. Rkomi);Irama;24/01/2024 19:46;35501;3z0GeNGWyVduziP1cQ0mFN;63;160000;25/02/2022;spotify:track:3z0GeNGWyVduziP1cQ0mFN;0.279;0.742;0.808;0.059;9.85e-06;0.325;0.846;-5.206;74.992;4;4;1;spotify:track:3z0GeNGWyVduziP1cQ0mFN;3z0GeNGWyVduziP1cQ0mFN
Papaya;VillaBanks;24/01/2024 19:45;139644;0eUgmndC1CN1eijY6EKSaE;65;139714;26/10/2023;spotify:track:0eUgmndC1CN1eijY6EKSaE;0.448;0.672;0.83;0.0872;0.0;0.104;0.435;-6.165;139.983;4;11;0;spotify:track:0eUgmndC1CN1eijY6EKSaE;0eUgmndC1CN1eijY6EKSaE
Ricordi;Pinguini Tattici Nucleari;24/01/2024 19:45;7485;1AQqSrJYbCeRtzO7EApqYX;63;203840;02/12/2022;spotify:track:1AQqSrJYbCeRtzO7EApqYX;0.123;0.684;0.665;0.0374;0.0;0.153;0.609;-5.987;135.018;4;1;0;spotify:track:1AQqSrJYbCeRtzO7EApqYX;1AQqSrJYbCeRtzO7EApqYX
Piango In Discoteca;Mara Sattei;24/01/2024 19:45;299;3Pc1M4PKxL8LhZ6nDMLAWJ;53;199845;20/07/2023;spotify:track:3Pc1M4PKxL8LhZ6nDMLAWJ;0.0107;0.834;0.646;0.0471;0.000707;0.0564;0.447;-5.987;125.003;4;7;0;spotify:track:3Pc1M4PKxL8LhZ6nDMLAWJ;3Pc1M4PKxL8LhZ6nDMLAWJ
Per sentirmi vivo;Fasma;24/01/2024 19:43;82;20v9X8TV0AgwNGFT71OX3w;56;177880;28/02/2020;spotify:track:20v9X8TV0AgwNGFT71OX3w;0.167;0.579;0.718;0.293;0.0;0.114;0.211;-5.05;168.279;4;2;1;spotify:track:20v9X8TV0AgwNGFT71OX3w;20v9X8TV0AgwNGFT71OX3w
LUNA PIENA (con IRAMA);Rkomi;24/01/2024 19:43;0;6z7tGTD6yvyloEm6K2H8EX;64;166983;30/11/2021;spotify:track:6z7tGTD6yvyloEm6K2H8EX;0.405;0.722;0.841;0.0545;0.0;0.0876;0.467;-3.561;99.963;4;1;1;spotify:track:6z7tGTD6yvyloEm6K2H8EX;6z7tGTD6yvyloEm6K2H8EX
